Player;Role;Team;Opponent Team;Opponent Player;Date;Week;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
kingen;TOP;DK;HLE;Doran;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Blue;00:45:22;Maokai;Lee_Sin;Nidalee;Skarner;KSante;Skarner;Win;15;9;2;3;18;0;3;9;3;241;0;0;5.3;14152;312;0.164;45;23;7;14;14;0.99;0.51;0.31;0.15;0.1;12474;8997;1625;1852;275;0.132;0.2;0.6;0;0;0;0;0;42;-4;226;0;0;1975;1975;8376;0;79989;2059;39;1647;49992;138;16;40;0;0
Lucid;JUNGLE;DK;HLE;Peanut;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Blue;00:45:22;Senna;Vi;KSante;Varus;Nidalee;KhaZix;Win;15;9;2;3;18;7;0;7;Perfect_KDA;294;252;0;6.5;17804;392;0.206;83;18;23;18;17;1.83;0.4;0.4;0.51;0.184;27513;282;23388;3843;606;0.29;0.31;0.933;1;1;0;0;0;356;5;165;0;0;2002;2002;44578;14215;26923;0;13;215;38298;0;20;40;100;0
ShowMaker;MID;DK;HLE;Zeka;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Blue;00:45:22;Ashe;Lucian;Tristana;KhaZix;Tristana;Azir;Win;15;9;2;3;18;2;1;6;8;421;37;0;9.3;19773;436;0.229;84;23;34;6;6;1.85;0.51;0.13;0.75;0.186;24724;23063;1293;368;545;0.261;0.18;0.533;0;0;0;0;0;736;-5;-96;0;0;15557;15557;7928;0;15491;0;5;213;18590;0;9;32;0;350
Aiming;ADCARRY;DK;HLE;Viper;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Blue;00:45:22;Taliyah;Rakan;Zeri;Azir;Zeri;Varus;Win;15;9;2;3;18;6;0;3;Perfect_KDA;526;42;0;11.6;24296;536;0.282;80;17;30;3;3;1.76;0.37;0.07;0.66;0.177;26176;20866;3750;1560;577;0.276;0.2;0.6;0;0;1;0;0;-168;-14;232;1;0;7394;7394;9586;0;10073;0;8;279;22058;0;5;30;850;0
Kellin;SUPPORT;DK;HLE;Delight;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Blue;00:45:22;Alistar;Kalista;Nautilus;Rell;Nautilus;Rell;Win;15;9;2;3;15;0;7;7;1;41;0;0;0.9;10264;226;0.119;160;102;19;31;31;3.53;2.25;0.68;0.42;0.354;3952;326;2838;788;87;0.042;0.15;0.467;0;0;0;0;0;130;-9;-811;0;0;731;731;2170;274;31052;28;40;133;33790;212;33;50;0;0
Doran;TOP;HLE;DK;kingen;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Red;00:45:22;Lee_Sin;Maokai;Skarner;Nidalee;Skarner;KSante;Loss;11;6;4;1;18;1;6;8;1.5;265;3;0;5.8;13716;302;0.173;51;22;5;16;16;1.12;0.48;0.35;0.11;0.096;21575;13310;7007;1258;476;0.187;0.2;0.818;0;0;0;0;0;-42;4;-226;0;0;3185;3185;1390;0;88827;0;42;965;37938;232;20;40;0;0
Peanut;JUNGLE;HLE;DK;Lucid;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Red;00:45:22;Vi;Senna;Varus;KSante;KhaZix;Nidalee;Loss;11;6;4;1;18;3;4;3;1.5;322;247;0;7.1;15738;347;0.198;200;69;51;12;12;4.41;1.52;0.26;1.12;0.376;14913;11618;507;2788;329;0.129;0.13;0.545;0;0;0;0;0;-356;-5;-165;0;0;580;580;23574;0;26600;0;17;561;40525;118;15;36;0;100
Zeka;MID;HLE;DK;ShowMaker;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Red;00:45:22;Lucian;Ashe;KhaZix;Tristana;Azir;Tristana;Loss;11;6;4;1;18;3;1;7;10;487;12;0;10.7;20284;447;0.256;61;21;17;5;5;1.34;0.46;0.11;0.37;0.115;31129;322;29628;1179;686;0.269;0.22;0.909;0;0;0;0;0;-736;5;96;0;0;9379;9379;6744;0;12268;0;11;474;20181;0;8;32;0;600
Viper;ADCARRY;HLE;DK;Aiming;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Red;00:45:22;Rakan;Taliyah;Azir;Zeri;Varus;Zeri;Loss;11;6;4;1;18;4;1;6;10;401;30;0;8.8;19943;440;0.251;57;25;17;11;11;1.26;0.55;0.24;0.37;0.107;45481;37089;4673;3719;1003;0.393;0.22;0.909;0;0;0;0;0;168;14;-232;-1;0;4151;4151;2393;0;7117;0;59;814;11303;0;14;31;350;250
Delight;SUPPORT;HLE;DK;Kellin;12.06.2024;1;1;v14.11;Summer_Season_24;3;3;3;3;Red;00:45:22;Kalista;Alistar;Rell;Nautilus;Rell;Nautilus;Loss;11;6;4;1;14;0;3;9;3;48;0;0;1.1;9672;213;0.122;163;102;12;26;24;3.59;2.25;0.57;0.26;0.306;2513;314;1906;293;55;0.022;0.2;0.818;0;0;0;0;0;-130;9;811;0;0;321;321;2212;255;25859;0;17;62;32120;75;28;45;0;0
